what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1371392759773
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1371392759819
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1371392759853
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1371392759886
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1371392759915
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1371392759923
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1371392759946
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1371392759988
started,bundle,org.eclipse.m2e.logback.configuration,1.1.0.20120530-0009,"org.eclipse.m2e.logback.configuration",1371392760021
started,bundle,org.eclipse.team.svn.core,1.0.0.I20121109-1700,"org.eclipse.team.svn.core",1371392760033
started,bundle,org.eclipse.team.svn.ui,1.0.0.I20121109-1700,"org.eclipse.team.svn.ui",1371392760125
os,sysinfo,,,"win32",1371392760132
arch,sysinfo,,,"x86",1371392760132
ws,sysinfo,,,"win32",1371392760132
locale,sysinfo,,,"zh_CN",1371392760132
processors,sysinfo,,,"4",1371392760132
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1371392760132
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1371392760132
java.specification.name,sysinfo,,,"Java Platform API Specification",1371392760132
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371392760132
java.specification.version,sysinfo,,,"1.6",1371392760132
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1371392760132
java.version,sysinfo,,,"1.6.0_31",1371392760132
java.vm.info,sysinfo,,,"mixed mode, sharing",1371392760132
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1371392760132
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371392760132
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371392760132
java.vm.specification.version,sysinfo,,,"1.0",1371392760132
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1371392760132
java.vm.version,sysinfo,,,"20.6-b01",1371392760132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371392761092
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1371392761216
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1371392761226
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1371392761295
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1371392761375
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1371392761395
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1371392761623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371394417834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371394419830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371394420432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371394421528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371395090691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371395093656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371395201197
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371395205440
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1371395210018
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1371395210157
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1371395210159
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1371395210173
started,bundle,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui",1371395210343
opened,editor,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui.editors.ConfigFileEditor",1371395210578
activated,editor,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui.editors.ConfigFileEditor",1371395210706
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371395224172
opened,editor,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui.editors.ConfigFileEditor",1371395225776
activated,editor,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui.editors.ConfigFileEditor",1371395225810
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371395230606
activated,editor,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui.editors.ConfigFileEditor",1371395236336
closed,editor,org.apache.ibatis.abator.ui,1.1.0,"org.apache.ibatis.abator.ui.editors.ConfigFileEditor",1371395238026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371395247687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371395253121
